city,county,state,ev_count,bev_count,phev_count,bev_ratio,phev_ratio,required_chargers,high_demand,centroid_lat,centroid_lon
Leander,Travis,TX,1,1,0,1.0,0.0,1,0,30.57955,-97.85322
Leavenworth,Chelan,WA,370,296,74,0.8,0.2,19,1,47.59811851351351,-120.65739432432433
Lebam,Pacific,WA,3,3,0,1.0,0.0,1,0,46.68867,-123.72994
Leonardtown,St. Mary's,MD,1,1,0,1.0,0.0,1,0,38.29225,-76.6357
Lexington Park,St. Mary's,MD,1,1,0,1.0,0.0,1,0,38.26564,-76.45275
Liberty Lake,Spokane,WA,388,291,97,0.75,0.25,20,1,47.668260876288656,-117.10168891752578
Libertyville,Lake,IL,3,3,0,1.0,0.0,1,0,42.28785,-87.95342999999998
Lilliwaup,Mason,WA,15,13,2,0.8666666666666667,0.13333333333333333,1,0,47.47203,-123.0921
Lincoln,Lincoln,WA,4,2,2,0.5,0.5,1,0,47.82937,-118.41899
Lind,Adams,WA,3,3,0,1.0,0.0,1,0,46.97135,-118.61566
Lisle,DuPage,IL,3,3,0,1.0,0.0,1,0,41.79884,-88.07191
Long Beach,Pacific,WA,60,38,22,0.6333333333333333,0.36666666666666664,3,1,46.52915466666666,-123.79801533333332
Longbranch,Pierce,WA,28,19,9,0.6785714285714286,0.32142857142857145,2,0,47.21454,-122.75905
Longview,Cowlitz,WA,467,335,132,0.7173447537473233,0.2826552462526767,24,1,46.14681,-122.95058
Loon Lake,Stevens,WA,23,15,8,0.6521739130434783,0.34782608695652173,2,0,48.06288,-117.63730999999999
Lopez Is,San Juan,WA,2,1,1,0.5,0.5,1,0,48.52342,-122.91395
Lopez Island,San Juan,WA,178,127,51,0.7134831460674157,0.28651685393258425,9,1,48.52342,-122.91394999999999
Los Angeles,Los Angeles,CA,6,5,1,0.8333333333333334,0.16666666666666666,1,0,34.067550000000004,-118.33216833333334
Lummi Island,Whatcom,WA,61,42,19,0.6885245901639344,0.3114754098360656,4,1,48.72052,-122.68326
Lyle,Klickitat,WA,27,16,11,0.5925925925925926,0.4074074074074074,2,0,45.6939,-121.28544
Lyman,Skagit,WA,2,2,0,1.0,0.0,1,0,48.52525,-122.05976
Lynden,Whatcom,WA,343,259,84,0.7551020408163265,0.24489795918367346,18,1,48.9429,-122.45078999999998
Lynnwood,Snohomish,WA,4094,3555,539,0.8683439179286762,0.1316560820713239,205,1,47.84148845139228,-122.28326368343917
Mabton,Yakima,WA,12,9,3,0.75,0.25,1,0,46.21468166666667,-119.99043083333333
Madison,New Haven,CT,2,0,2,0.0,1.0,1,0,41.27973,-72.59507
Maitland,Orange,FL,1,1,0,1.0,0.0,1,0,28.6274,-81.36454
Malaga,Chelan,WA,33,29,4,0.8787878787878788,0.12121212121212122,2,0,47.37238,-120.20227
Malden,Whitman,WA,1,0,1,0.0,1.0,1,0,47.22875,-117.47511
Malott,Okanogan,WA,1,1,0,1.0,0.0,1,0,48.28279,-119.70617
Manassas,Manassas,VA,1,1,0,1.0,0.0,1,0,38.75125,-77.47086
Manassas,Prince William,VA,3,1,2,0.3333333333333333,0.6666666666666666,1,0,38.78013,-77.44985
Mansfield,Douglas,WA,6,5,1,0.8333333333333334,0.16666666666666666,1,0,47.85977833333333,-119.66148
Manson,Chelan,WA,114,87,27,0.7631578947368421,0.23684210526315788,6,1,47.8854,-120.16034
Maple Falls,Whatcom,WA,50,39,11,0.78,0.22,3,1,48.92368999999999,-122.07728000000002
Maple Valley,King,WA,2187,1876,311,0.8577960676726109,0.14220393232738912,110,1,47.3938614083219,-122.04442740283493
Marblemount,Skagit,WA,1,0,1,0.0,1.0,1,0,48.52739,-121.41604
Marietta,Cobb,GA,1,1,0,1.0,0.0,1,0,33.96956,-84.41144
Marina,Monterey,CA,1,0,1,0.0,1.0,1,0,36.68162,-121.80231
Marlin,Grant,WA,4,4,0,1.0,0.0,1,0,47.40718,-118.98504
Martha Lake,Snohomish,WA,1,1,0,1.0,0.0,1,0,47.85727,-122.27981
Martinez,Contra Costa,CA,1,1,0,1.0,0.0,1,0,38.01393,-122.13494
Maryhill,Klickitat,WA,1,0,1,0.0,1.0,1,0,45.823,-120.82545
Marysville,Snohomish,WA,2046,1722,324,0.841642228739003,0.15835777126099707,103,1,48.075416818181814,-122.17433819648093
Mattawa,Grant,WA,38,31,7,0.8157894736842105,0.18421052631578946,2,0,46.73779,-119.90008
Mazama,Okanogan,WA,28,23,5,0.8214285714285714,0.17857142857142858,2,0,48.59409999999999,-120.40814
Mc Lean,Fairfax,VA,1,0,1,0.0,1.0,1,0,38.93681,-77.18493
McChord AFB,Pierce,WA,1,0,1,0.0,1.0,1,0,47.12717,-122.52968
McCleary,Mason,WA,1,1,0,1.0,0.0,1,0,47.04946,-123.26405
Mccleary,Grays Harbor,WA,62,49,13,0.7903225806451613,0.20967741935483872,4,1,47.04946,-123.26405000000001
Mead,Spokane,WA,115,84,31,0.7304347826086957,0.26956521739130435,6,1,47.764746869565215,-117.35581513043479
Mechanicsburg,Cumberland,PA,1,1,0,1.0,0.0,1,0,40.24718,-76.99698
Medical Lake,Spokane,WA,76,52,24,0.6842105263157895,0.3157894736842105,4,1,47.571799078947365,-117.67846671052631
Medina,King,WA,417,363,54,0.8705035971223022,0.12949640287769784,21,1,47.61613,-122.23892
Melbourne,Brevard,FL,1,1,0,1.0,0.0,1,0,28.07875,-80.684
Memphis,Shelby,TN,1,0,1,0.0,1.0,1,0,35.15052,-90.04136
Menifee,Riverside,CA,1,1,0,1.0,0.0,1,0,33.7464,-117.17416
Menlo,Pacific,WA,13,8,5,0.6153846153846154,0.38461538461538464,1,0,46.68867,-123.72994
Mercer Island,King,WA,2988,2451,537,0.820281124497992,0.17971887550200802,150,1,47.57816,-122.21238
Mesa,Franklin,WA,11,8,3,0.7272727272727273,0.2727272727272727,1,0,46.57833,-119.00503000000002
Metaline,Pend Oreille,WA,1,0,1,0.0,1.0,1,0,48.85602,-117.38884
Methow,Okanogan,WA,6,5,1,0.8333333333333334,0.16666666666666666,1,0,48.09185,-119.952425
Mica,Spokane,WA,5,5,0,1.0,0.0,1,0,47.56436,-117.21611
Middleburg,Clay,FL,1,1,0,1.0,0.0,1,0,30.06677,-81.86674
Middletown,Frederick,MD,1,0,1,0.0,1.0,1,0,39.4439,-77.5464
Middletown,Newport,RI,3,1,2,0.3333333333333333,0.6666666666666666,1,0,41.51624,-71.29923
Midway City,Orange,CA,1,1,0,1.0,0.0,1,0,33.74469,-117.98647
Mill Creek,Snohomish,WA,1000,835,165,0.835,0.165,50,1,47.83448,-122.21061
Mill Valley,Marin,CA,2,2,0,1.0,0.0,1,0,37.90774,-122.54822
Milton,King,WA,33,24,9,0.7272727272727273,0.2727272727272727,2,0,47.24898,-122.32172
Milton,Pierce,WA,124,101,23,0.8145161290322581,0.18548387096774194,7,1,47.24898,-122.32172
Milwaukee,Milwaukee,WI,1,1,0,1.0,0.0,1,0,43.11859,-87.91072
Mineral,Lewis,WA,16,14,2,0.875,0.125,1,0,46.71902,-122.18768
Minneapolis,Hennepin,MN,1,1,0,1.0,0.0,1,0,44.94292,-93.28272
Moclips,Grays Harbor,WA,7,4,3,0.5714285714285714,0.42857142857142855,1,0,47.23932,-124.21349
Moncks Corner,Berkeley,SC,1,0,1,0.0,1.0,1,0,33.19673,-80.01243
Monitor,Chelan,WA,2,2,0,1.0,0.0,1,0,47.49049,-120.42429
Monroe,Snohomish,WA,1146,941,205,0.8211169284467714,0.17888307155322863,58,1,47.8526,-121.98087
Montclair,Essex,NJ,1,0,1,0.0,1.0,1,0,40.81242,-74.21281
Montesano,Grays Harbor,WA,110,76,34,0.6909090909090909,0.3090909090909091,6,1,46.983839999999994,-123.60076
Montgomery,Montgomery,AL,1,1,0,1.0,0.0,1,0,32.3804,-86.34036
Monument,El Paso,CO,1,1,0,1.0,0.0,1,0,39.09153,-104.87157
Moorpark,Ventura,CA,1,1,0,1.0,0.0,1,0,34.28706,-118.88221
Moreno Valley,Riverside,CA,1,1,0,1.0,0.0,1,0,33.94751,-117.22922
Morgan Hill,Santa Clara,CA,1,0,1,0.0,1.0,1,0,37.12608,-121.66194
Morrisville,Wake,NC,1,1,0,1.0,0.0,1,0,35.82305,-78.83015
Morton,Lewis,WA,22,18,4,0.8181818181818182,0.18181818181818182,2,0,46.55539999999999,-122.27513999999998
Moses Lake,Grant,WA,495,342,153,0.6909090909090909,0.3090909090909091,25,1,47.13196,-119.2771
Mossyrock,Lewis,WA,40,28,12,0.7,0.3,2,0,46.52948,-122.48445999999998
