County,EV_Count,Avg_Range,Avg_MSRP,Avg_Model_Year
Barnstable,1,220.0,,2019.0
Stanislaus,1,215.0,,2024.0
Beaufort,1,215.0,,2022.0
Beaver,1,215.0,,2023.0
Bell,1,215.0,,2023.0
Tooele,1,210.0,69900.0,2016.0
Texas,1,215.0,,2018.0
Tarrant,1,220.0,,2019.0
Talladega,1,21.0,,2024.0
Clay,1,208.0,69900.0,2015.0
Brevard,1,215.0,,2023.0
Bristol,1,215.0,,2022.0
San Luis Obispo,1,42.0,,2024.0
Larimer,1,215.0,,2018.0
Cobb,1,153.0,,2020.0
Cochise,1,215.0,,2024.0
Hartford,1,220.0,,2019.0
Hennepin,1,220.0,,2019.0
Henrico,1,42.0,,2023.0
Hoke,1,215.0,,2023.0
Houston,1,215.0,,2022.0
Hudson,1,215.0,,2022.0
Jackson,1,215.0,,2021.0
James City,1,215.0,,2024.0
Monroe,1,215.0,,2024.0
Milwaukee,1,215.0,,2022.0
Miller,1,215.0,,2024.0
Johnson,1,215.0,,2023.0
Kane,1,215.0,,2023.0
Mercer,1,38.0,,2014.0
Medina,1,215.0,,2022.0
Meade,1,215.0,,2021.0
Kauai,1,22.0,,2022.0
Marion,1,215.0,,2024.0
La Plata,1,249.0,69900.0,2018.0
Manassas,1,215.0,69900.0,2021.0
Madison,1,215.0,,2018.0
Hardin,1,215.0,,2022.0
Hall,1,215.0,,2024.0
Oldham,1,33.0,39995.0,2018.0
Platte,1,18.0,,2021.0
Collin,1,37.0,,2024.0
Currituck,1,215.0,,2021.0
Saginaw,1,25.0,,2022.0
Davidson,1,215.0,,2022.0
Richmond,1,38.0,,2013.0
Denver,1,215.0,,2024.0
Providence,1,84.0,,2015.0
Essex,1,35.0,52900.0,2024.0
Forsyth,1,215.0,,2023.0
Pinal,1,32.0,39995.0,2020.0
Olmsted,1,215.0,,2024.0
Pima,1,215.0,,2023.0
Goochland,1,215.0,,2021.0
Philadelphia,1,42.0,,2021.0
Penobscot,1,6.0,,2012.0
Palm Beach,1,291.0,,2020.0
Guam,1,26.0,,2024.0
Otero,1,25.0,,2023.0
Osceola,1,215.0,,2023.0
Gwinnett,1,215.0,,2024.0
Lee,1,220.0,,2019.0
