Feature,Coefficient,Abs_Coefficient
EV_Count,690.454161252501,690.454161252501
Avg_Age,-0.20189524050555688,0.20189524050555688
Avg_Range,0.10445326605192784,0.10445326605192784
Range_Std,0.09525575006350565,0.09525575006350565
Avg_MSRP,-0.04038738661446605,0.04038738661446605
Distance_From_Spokane,-0.0217351343172573,0.0217351343172573
Distance_From_Seattle,0.016510896896413146,0.016510896896413146
Make_Diversity,-0.009215693271174838,0.009215693271174838
County_Encoded,0.0029090927357981523,0.0029090927357981523
BEV_Ratio,0.0006662689388328299,0.0006662689388328299
PHEV_Ratio,-0.0006662689388312964,0.0006662689388312964
