County,City,VIN (1-10)_count,Electric Range_mean,Electric Range_std,Electric Range_min,Electric Range_max,Base MSRP_mean,Base MSRP_std,Base MSRP_min,Base MSRP_max,Model Year_mean,Model Year_min,Model Year_max,Longitude_mean,Latitude_mean,Vehicle Age_mean,EV_Count,Avg_Range,Range_Std,Avg_MSRP,Avg_Age,Charging_Score,BEV_Ratio,PHEV_Ratio,Make_Diversity,Distance_From_Seattle,Distance_From_Spokane,County_Encoded,EV_Density_Category
Snohomish,Woodway,126,172.6825,81.9962,10.0,293.0,60703.2143,12607.6423,31950.0,69900.0,2021.5317,2014,2026,-122.3769,47.8112,2.4683,126,172.6825,81.9962,60703.2143,2.4683,51.99,0.7777777777777778,0.2222222222222222,23,0.20983812808924915,4.9532450545072,188,Very High
Solano,Benicia,1,215.0,,215.0,215.0,,,,,2022.0,2022,2022,-122.1535,38.0528,2.0,1,215.0,0.0,,2.0,,1.0,0.0,1,9.55506931005736,10.706282839996334,189,Low
Solano,Travis Afb,1,215.0,,215.0,215.0,,,,,2022.0,2022,2022,-121.933,38.2715,2.0,1,215.0,0.0,,2.0,,1.0,0.0,1,9.34322775597384,10.413186365853631,189,Low
Solano,Vacaville,1,215.0,,215.0,215.0,,,,,2021.0,2021,2021,-121.9926,38.3522,3.0,1,215.0,0.0,,3.0,,1.0,0.0,1,9.260225496714428,10.366611747335766,189,Low
Spokane,Airway Heights,42,158.7857,94.4268,15.0,322.0,184400.0,,184400.0,184400.0,2020.7857,2012,2025,-117.5931,47.6443,3.2143,42,158.7857,94.4268,184400.0,3.2143,18.09,0.7142857142857143,0.2857142857142857,12,4.7391531532542714,0.16772793446531675,190,Medium
Spokane,Chattaroy,60,155.6,86.8516,19.0,291.0,69900.0,0.0,69900.0,69900.0,2021.5833,2012,2025,-117.3579,47.9017,2.4167,60,155.6,86.8516,69900.0,2.4167,25.53,0.7,0.3,15,4.982969585498186,0.25226577254950694,190,High
Spokane,Cheney,243,165.3539,86.0068,13.0,330.0,55937.0588,15216.6957,31950.0,69900.0,2021.5885,2011,2026,-117.5743,47.4918,2.4115,243,165.3539,86.0068,55937.0588,2.4115,98.82,0.7448559670781894,0.2551440329218107,23,4.759175159625881,0.2233425396112396,190,Very High
Spokane,Colbert,187,163.2032,90.9361,17.0,322.0,62519.5,10416.8465,39995.0,69900.0,2022.0695,2013,2026,-117.3547,47.8369,1.9305,187,163.2032,90.9361,62519.5,1.9305,76.44,0.7058823529411765,0.29411764705882354,23,4.982743546481198,0.19184186195927452,190,Very High
Spokane,Deer Park,98,154.8061,91.1309,6.0,322.0,60412.5,18975.0,31950.0,69900.0,2021.5102,2013,2025,-117.463,47.9495,2.4898,98,154.8061,91.1309,60412.5,2.4898,40.77,0.6938775510204082,0.30612244897959184,17,4.881187324821701,0.29304520129154144,190,High
Spokane,Edwall,5,144.4,99.7036,19.0,220.0,,,,,2019.4,2013,2024,-117.8758,47.502,4.6,5,144.4,99.7036,,4.6,,0.6,0.4,4,4.457518068387384,0.4763468064341312,190,Low
Spokane,Elk,27,166.4074,82.2165,21.0,238.0,54947.5,21146.0283,39995.0,69900.0,2020.8148,2012,2025,-117.2782,48.0172,3.1852,27,166.4074,82.2165,54947.5,3.1852,12.34,0.7407407407407407,0.25925925925925924,12,5.070584405174613,0.3876795068094306,190,Medium
Spokane,Fairchild Air Force Base,25,146.56,92.1046,19.0,266.0,,,,,2020.8,2012,2025,-117.6446,47.6405,3.2,25,146.56,92.1046,,3.2,,0.68,0.32,10,4.687625490586892,0.2193646507530274,190,Medium
Spokane,Fairfield,4,122.25,107.3231,21.0,215.0,,,,,2021.25,2014,2024,-117.1712,47.3852,2.75,4,122.25,107.3231,,2.75,,0.5,0.5,4,5.165629662490332,0.3738716357254219,190,Low
Spokane,Greenacres,227,173.1718,78.4588,14.0,308.0,66256.25,7983.5638,45600.0,69900.0,2022.2775,2011,2026,-117.174,47.6567,1.7225,227,173.1718,78.4588,66256.25,1.7225,92.43,0.7797356828193832,0.22026431718061673,24,5.158347202350758,0.25200874984809085,190,Very High
Spokane,Latah,3,230.3333,30.9892,210.0,266.0,69900.0,,69900.0,69900.0,2018.3333,2017,2020,-117.1551,47.2797,5.6667,3,230.3333,30.9892,69900.0,5.6667,2.44,1.0,0.0,1,5.187285537735504,0.46594379489376125,190,Low
Spokane,Liberty Lake,388,168.7784,81.2428,1.0,322.0,69575.4762,29043.9714,39995.0,184400.0,2022.4845,2012,2026,-117.1017,47.6683,1.5155,388,168.7784,81.2428,69575.4762,1.5155,156.84,0.75,0.25,28,5.230768640458114,0.3244391160140917,190,Very High
Spokane,Mead,115,161.2174,84.4229,14.0,291.0,50139.2857,17623.7733,39995.0,81100.0,2021.9478,2012,2026,-117.3558,47.7647,2.0522,115,161.2174,84.4229,50139.2857,2.0522,47.68,0.7304347826086957,0.26956521739130435,24,4.97882354979567,0.12705451585834965,190,Very High
Spokane,Medical Lake,76,158.0789,95.6759,6.0,330.0,47281.6667,19996.8062,31950.0,69900.0,2020.8947,2012,2026,-117.6785,47.5718,3.1053,76,158.0789,95.6759,47281.6667,3.1053,32.02,0.6842105263157895,0.3157894736842105,19,4.653727142839379,0.26706787526768955,190,High
Spokane,Mica,5,225.0,25.2488,210.0,270.0,69900.0,0.0,69900.0,69900.0,2021.2,2016,2025,-117.2161,47.5644,2.8,5,225.0,25.2488,69900.0,2.8,3.51,1.0,0.0,2,5.116170759464543,0.230150754941195,190,Low
Spokane,Newman Lake,60,150.1667,90.727,19.0,291.0,80162.5,20525.0,69900.0,110950.0,2020.85,2010,2025,-117.0703,47.7245,3.15,60,150.1667,90.727,80162.5,3.15,25.42,0.6666666666666666,0.3333333333333333,14,5.26312968964284,0.36171671235927033,190,High
Spokane,Nine Mile Falls,74,162.5811,86.9902,6.0,293.0,65932.7778,12078.3865,39995.0,81100.0,2020.9324,2012,2026,-117.5429,47.7743,3.0676,74,162.5811,86.9902,65932.7778,3.0676,31.1,0.7432432432432432,0.25675675675675674,17,4.792149230773176,0.16433459769628436,190,High
Spokane,Otis Orchards,67,165.3433,81.2873,19.0,239.0,62092.8571,14605.1483,32250.0,69900.0,2021.4478,2013,2026,-117.1113,47.7079,2.5522,67,165.3433,81.2873,62092.8571,2.5522,28.36,0.746268656716418,0.2537313432835821,14,5.221790452517218,0.31850729975936426,190,High
Spokane,Reardan,4,126.0,103.5954,21.0,215.0,,,,,2021.75,2017,2024,-117.877,47.6695,2.25,4,126.0,103.5954,,2.25,,0.5,0.5,3,4.455549674282626,0.45112691119018167,190,Low
Spokane,Rockford,7,211.8571,5.8432,200.0,215.0,69900.0,,69900.0,69900.0,2019.8571,2015,2024,-117.1326,47.4523,4.1429,7,211.8571,5.8432,69900.0,4.1429,4.11,1.0,0.0,3,5.201777144399787,0.35878379283351486,190,Low
Spokane,Rosalia,2,215.0,0.0,215.0,215.0,,,,,2022.0,2022,2022,-117.3705,47.2344,2.0,2,215.0,0.0,,2.0,,1.0,0.0,1,4.975511008931636,0.42801356286921355,190,Low
Spokane,Spangle,16,133.8125,94.2629,17.0,289.0,,,,,2020.5625,2015,2025,-117.3925,47.4329,3.4375,16,133.8125,94.2629,,3.4375,,0.5625,0.4375,6,4.942639077456494,0.22837044467268863,190,Medium
Spokane,Spokane,4208,159.674,87.6113,6.0,337.0,60263.3228,20288.6909,31950.0,184400.0,2021.5779,2008,2026,-117.4058,47.667,2.4221,4208,159.674,87.6113,60263.3228,2.4221,1684.78,0.7157794676806084,0.28422053231939165,36,4.926675180078344,0.02180091741189218,190,Very High
Spokane,Spokane Valley,1064,145.2039,92.5512,6.0,337.0,47940.0,13901.8991,31950.0,91250.0,2021.6231,2011,2026,-117.2332,47.6648,2.3769,1064,145.2039,92.5512,47940.0,2.3769,427.26,0.6400375939849624,0.3599624060150376,33,5.0992367242558965,0.1928933384023463,190,Very High
Spokane,Valleyford,29,169.6207,81.6099,20.0,291.0,,,,,2021.7931,2014,2025,-117.2433,47.5397,2.2069,29,169.6207,81.6099,,2.2069,,0.7586206896551724,0.2413793103448276,11,5.0892344895868105,0.2180919530840098,190,Medium
Spokane,Veradale,87,155.8966,89.2075,16.0,322.0,64915.8333,12208.6651,39995.0,69900.0,2021.4253,2012,2026,-117.1953,47.6571,2.5747,87,155.8966,89.2075,64915.8333,2.5747,36.34,0.6896551724137931,0.3103448275862069,19,5.137052175129228,0.2307062634607033,190,High
St. Charles,O Fallon,1,215.0,,215.0,215.0,,,,,2024.0,2024,2024,-90.7025,38.7701,0.0,1,215.0,0.0,,0.0,,1.0,0.0,1,32.840649496774574,28.162997708695716,191,Low
St. Clair,Belleville,1,39.0,,39.0,39.0,,,,,2024.0,2024,2024,-89.9842,38.5124,0.0,1,39.0,0.0,,0.0,,0.0,1.0,1,33.601842700215116,28.92592297922402,192,Low
St. Louis,Ballwin,1,42.0,,42.0,42.0,,,,,2022.0,2022,2022,-90.5077,38.5703,2.0,1,42.0,0.0,,2.0,,0.0,1.0,1,33.08232041695383,28.411189822673744,193,Low
St. Louis,Saint Louis,2,268.5,75.6604,215.0,322.0,,,,,2022.5,2020,2025,-90.2609,38.6885,1.5,2,268.5,75.6604,,1.5,,1.0,0.0,1,33.28794440529483,28.60784752650922,193,Low
St. Mary'S,California,1,215.0,,215.0,215.0,,,,,2025.0,2025,2025,-76.5194,38.3034,-1.0,1,215.0,0.0,,-1.0,,1.0,0.0,1,46.747679826168905,41.96276245339432,194,Low
St. Mary'S,Leonardtown,1,215.0,,215.0,215.0,,,,,2023.0,2023,2023,-76.6357,38.2922,1.0,1,215.0,0.0,,1.0,,1.0,0.0,1,46.6359471755426,41.85190281994356,194,Low
St. Mary'S,Lexington Park,1,215.0,,215.0,215.0,,,,,2023.0,2023,2023,-76.4528,38.2656,1.0,1,215.0,0.0,,1.0,,1.0,0.0,1,46.82047604253934,42.03611928425364,194,Low
Stafford,Fredericksburg,1,220.0,,220.0,220.0,,,,,2019.0,2019,2019,-77.4406,38.3376,5.0,1,220.0,0.0,,5.0,,1.0,0.0,1,45.838343318776246,41.05748388053023,195,Low
Stafford,Stafford,2,215.0,0.0,215.0,215.0,,,,,2021.0,2021,2021,-77.4091,38.4496,3.0,2,215.0,0.0,,3.0,,1.0,0.0,2,45.8466929293706,41.06289870734896,195,Low
Stanislaus,Turlock,1,215.0,,215.0,215.0,,,,,2024.0,2024,2024,-120.8535,37.5338,0.0,1,215.0,0.0,,0.0,,1.0,0.0,1,10.180348703261595,10.689405093362303,196,Low
Stevens,Addy,6,212.6667,3.6148,208.0,215.0,69900.0,0.0,69900.0,69900.0,2020.3333,2013,2024,-117.8379,48.3561,3.6667,6,212.6667,3.6148,69900.0,3.6667,3.75,1.0,0.0,2,4.556334453263931,0.8098696808746455,197,Low
Stevens,Chewelah,27,153.7037,88.7875,6.0,220.0,57000.0,18243.355,44100.0,69900.0,2021.037,2012,2025,-117.7156,48.2814,2.963,27,153.7037,88.7875,57000.0,2.963,12.34,0.6666666666666666,0.3333333333333333,9,4.665615424571555,0.6866577895866282,197,Medium
Stevens,Clayton,9,162.3333,85.6388,38.0,238.0,,,,,2022.0,2015,2025,-117.5723,47.9968,2.0,9,162.3333,85.6388,,2.0,,0.6666666666666666,0.3333333333333333,6,4.7757998701788145,0.36830380122936507,197,Low
Stevens,Colville,70,150.0857,87.4974,14.0,259.0,64233.3333,9814.9546,52900.0,69900.0,2021.7286,2012,2025,-117.9045,48.5466,2.2714,70,150.0857,87.4974,64233.3333,2.2714,29.56,0.6571428571428571,0.34285714285714286,16,4.5263665251501655,1.0085390869966293,197,High
Stevens,Deer Park,18,109.8333,102.1897,21.0,322.0,,,,,2021.0556,2013,2024,-117.4715,47.9543,2.9444,18,109.8333,102.1897,,2.9444,,0.3888888888888889,0.6111111111111112,7,4.873048939832219,0.29898244095599125,197,Medium
Stevens,Evans,9,116.7778,93.4997,23.0,215.0,,,,,2020.4444,2012,2024,-118.0234,48.7133,3.5556,9,116.7778,93.4997,,3.5556,,0.4444444444444444,0.5555555555555556,5,4.448658910278468,1.2119641125049812,197,Low
Stevens,Ford,3,96.0,103.0679,35.0,215.0,,,,,2020.0,2012,2025,-117.8058,47.9089,4.0,3,96.0,103.0679,,4.0,,0.3333333333333333,0.6666666666666666,3,4.536410362830939,0.4547505360084845,197,Low
Stevens,Gifford,1,38.0,,38.0,38.0,,,,,2023.0,2023,2023,-118.1363,48.3108,1.0,1,38.0,0.0,,1.0,,0.0,1.0,1,4.254550364022023,0.9641732676236189,197,Low
Stevens,Hunters,3,132.0,164.6208,32.0,322.0,39995.0,,39995.0,39995.0,2022.0,2020,2023,-118.203,48.1178,2.0,3,132.0,164.6208,39995.0,2.0,3.09,0.3333333333333333,0.6666666666666666,3,4.160673187117675,0.9024466743248626,197,Low
Stevens,Kettle Falls,33,159.3333,89.2705,19.0,291.0,54947.5,21146.0283,39995.0,69900.0,2021.5152,2013,2026,-118.0621,48.6105,2.4848,33,159.3333,89.2705,54947.5,2.4848,14.81,0.6666666666666666,0.3333333333333333,9,4.386515529437912,1.1447078666629331,197,Medium
Stevens,Loon Lake,23,147.8261,93.8726,19.0,259.0,69900.0,0.0,69900.0,69900.0,2021.5217,2013,2025,-117.6373,48.0629,2.4783,23,147.8261,93.8726,69900.0,2.4783,10.72,0.6521739130434783,0.34782608695652173,9,4.71696109057516,0.45600932008019013,197,Medium
Stevens,Nine Mile Falls,83,171.5181,82.8132,21.0,322.0,61843.8889,14799.6017,32250.0,69900.0,2020.9157,2011,2026,-117.5439,47.7768,3.0843,83,171.5181,82.8132,61843.8889,3.0843,34.72,0.7831325301204819,0.21686746987951808,17,4.791238211569117,0.16680650466932798,197,High
Stevens,Northport,1,215.0,,215.0,215.0,,,,,2023.0,2023,2023,-117.7781,48.9174,1.0,1,215.0,0.0,,1.0,,1.0,0.0,1,4.739004266721018,1.3069232456422215,197,Low
Stevens,Rice,7,165.1429,85.1517,39.0,215.0,,,,,2023.2857,2022,2025,-118.1616,48.4293,0.7143,7,165.1429,85.1517,,0.7143,,0.7142857142857143,0.2857142857142857,4,4.250948583551666,1.0652594097214092,197,Low
Stevens,Springdale,4,173.75,91.6019,38.0,238.0,,,,,2018.75,2013,2024,-117.7414,48.0574,5.25,4,173.75,91.6019,,5.25,,0.75,0.25,3,4.612819954214556,0.5082903894428847,197,Low
