County,City,EV_Count,Avg_Range,Avg_MSRP,Longitude,Latitude,Charging_Score
Spokane,Medical Lake,76,158.0789,47281.6667,-117.6785,47.5718,38.9
Spokane,Nine Mile Falls,74,162.5811,65932.7778,-117.5429,47.7743,37.79
Grays Harbor,Hoquiam,73,158.3425,42447.5,-123.8869,46.9798,37.45
Douglas,Orondo,73,189.8904,69900.0,-120.228,47.6235,37.36
Mason,Union,72,159.3056,63138.5,-123.0994,47.3569,36.79
Jefferson,Port Hadlock,71,165.4366,54947.5,-122.7588,48.0359,36.36
Mason,Hoodsport,70,167.6429,69900.0,-123.1414,47.4064,35.79
King,Hunts Point,70,204.7143,125575.0,-122.1872,47.61,35.77
Kitsap,Indianola,70,149.2571,62929.0,-122.5276,47.7479,35.77
Stevens,Colville,70,150.0857,64233.3333,-117.9045,48.5466,35.76
Spokane,Otis Orchards,67,165.3433,62092.8571,-117.1113,47.7079,34.32
Clark,Woodland,66,182.803,57448.125,-122.7402,45.9094,33.9
Okanogan,Twisp,65,164.6615,46447.5,-120.1231,48.3652,33.42
Skamania,Stevenson,64,171.2969,61186.25,-121.8826,45.6942,32.84
Kittitas,Ronald,64,176.0781,67775.0,-121.0263,47.2378,32.82
Adams,Othello,63,174.3651,59712.5,-119.1742,46.8262,32.36
Wahkiakum,Cathlamet,63,157.0952,59198.75,-123.3866,46.2078,32.31
Grays Harbor,Mccleary,62,176.3387,54947.5,-123.2641,47.0495,31.89
Jefferson,Quilcene,62,177.2258,61249.1667,-122.8775,47.8264,31.86
Jefferson,Nordland,62,175.5323,63114.5,-122.6911,48.051,31.84
Whatcom,Lummi Island,61,152.082,68250.0,-122.6833,48.7205,31.25
Pacific,Long Beach,60,147.9833,54947.5,-124.0544,46.3523,30.81
Spokane,Chattaroy,60,155.6,69900.0,-117.3579,47.9017,30.75
Spokane,Newman Lake,60,150.1667,80162.5,-117.0703,47.7245,30.7
San Juan,Olga,59,127.7627,56022.7273,-122.8357,48.6236,30.24
King,Beaux Arts,58,168.9828,61832.7778,-122.1872,47.61,29.83
Pend Oreille,Newport,58,181.3103,69900.0,-117.044,48.1828,29.83
Yakima,Grandview,57,187.7544,69900.0,-119.9012,46.2561,29.35
Pierce,Anderson Island,57,165.8246,62310.0,-122.6788,47.1779,29.32
Whatcom,Sedro Woolley,56,170.5893,68250.0,-122.2386,48.5086,28.8
Lewis,Toledo,51,182.5882,64915.8333,-122.8478,46.4407,26.36
Pacific,Ocean Park,51,129.3922,69900.0,-124.05,46.4887,26.17
Whatcom,Maple Falls,50,163.3,35972.5,-122.0773,48.9237,26.05
Klickitat,Goldendale,50,154.58,69900.0,-120.8254,45.823,25.75
King,Algona,48,166.9583,39995.0,-122.2304,47.3074,25.0
Yakima,Zillah,48,172.2708,51331.6667,-120.2673,46.4026,24.91
Yakima,Moxee,47,158.2553,59250.0,-120.3944,46.5572,24.31
Mason,Tahuya,46,189.8913,61400.0,-123.0406,47.3773,23.9
Pierce,Ruston,43,162.3953,52781.6667,-122.5113,47.2924,22.37
Spokane,Airway Heights,42,158.7857,184400.0,-117.5931,47.6443,21.58
Klickitat,Trout Lake,41,157.9512,39995.0,-121.5253,45.9959,21.47
Pacific,Raymond,41,160.3902,45960.0,-123.7299,46.6887,21.42
Whatcom,Deming,41,161.7073,62583.3333,-122.2172,48.8265,21.3
