Feature,Correlation
EV_Count,0.9999999827821614
Make_Diversity,0.4118107451620736
BEV_Ratio,0.11044711501531633
PHEV_Ratio,-0.11044711501531625
Distance_From_Seattle,-0.10901768959387717
Avg_Age,-0.10262684819364404
Avg_Range,0.09455951352039806
Distance_From_Spokane,-0.06851573639817149
County_Encoded,-0.03305244591151949
Range_Std,0.009821366537929225
Avg_MSRP,0.008059093230257152
